排名,名称,评分,评价人数,影评,链接
183,雨中曲,9.1,227966人评价,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
184,忠犬八公物语,9.2,197365人评价,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
185,2001太空漫游,8.9,333014人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
186,荒蛮故事,8.8,446734人评价,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
187,心灵奇旅,8.7,990055人评价,暂无,https://movie.douban.com/subject/24733428/
188,小偷家族,8.7,816566人评价,我们组成了家。,https://movie.douban.com/subject/27622447/
189,无间道2,8.7,483120人评价,暂无,https://movie.douban.com/subject/1307106/
190,无敌破坏王,8.7,543961人评价,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
191,爆裂鼓手,8.7,592273人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
192,冰川时代,8.6,619385人评价,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
193,恐怖游轮,8.5,870232人评价,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
194,贫民窟的百万富翁,8.6,748800人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
195,东邪西毒,8.6,579860人评价,电影诗。,https://movie.douban.com/subject/1292328/
196,牯岭街少年杀人事件,8.9,303412人评价,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
197,魔女宅急便,8.7,463125人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
198,遗愿清单,8.7,465124人评价,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
199,东京教父,9.0,232859人评价,暂无,https://movie.douban.com/subject/1310177/
200,大佛普拉斯,8.7,462706人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
201,你看起来好像很好吃,8.9,335195人评价,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
202,真爱至上,8.6,734617人评价,爱，是个动词。,https://movie.douban.com/subject/1292401/
203,黑天鹅,8.6,783431人评价,黑暗之美。,https://movie.douban.com/subject/1978709/
204,可可西里,8.9,305324人评价,坚硬的信仰。,https://movie.douban.com/subject/1308857/
205,城市之光,9.3,148005人评价,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
206,源代码,8.5,839665人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
207,雨人,8.7,406196人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
208,海边的曼彻斯特,8.6,546149人评价,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
209,恋恋笔记本,8.5,675471人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
210,初恋这件小事,8.5,984208人评价,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
211,波西米亚狂想曲,8.6,609332人评价,暂无,https://movie.douban.com/subject/5300054/
212,人工智能,8.7,449800人评价,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
213,青蛇,8.6,530328人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
214,虎口脱险,8.9,259008人评价,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
215,终结者2：审判日,8.8,343983人评价,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
216,疯狂的麦克斯4：狂暴之路,8.7,534133人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
217,末路狂花,8.9,260205人评价,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
218,罗生门,8.8,316817人评价,人生的N种可能性。,https://movie.douban.com/subject/1291879/
219,新龙门客栈,8.7,447439人评价,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
220,萤火虫之墓,8.7,406576人评价,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
221,千钧一发,8.8,301523人评价,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
222,崖上的波妞,8.6,501874人评价,暂无,https://movie.douban.com/subject/1959877/
223,无耻混蛋,8.7,481500人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
224,花束般的恋爱,8.6,631676人评价,暂无,https://movie.douban.com/subject/34874432/
225,彗星来的那一夜,8.6,584841人评价,小成本大魅力。,https://movie.douban.com/subject/25807345/
226,奇迹男孩,8.6,553930人评价,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
227,芙蓉镇,9.3,141197人评价,暂无,https://movie.douban.com/subject/1297880/
228,爱乐之城,8.4,905354人评价,暂无,https://movie.douban.com/subject/25934014/
229,二十二,8.7,292678人评价,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
230,黑客帝国2：重装上阵,8.7,408975人评价,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
231,血钻,8.7,382528人评价,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
